Date,Open,High,Low,Close,Return
1998-10-01,986.39,1017.01,981.25,986.39,
1998-10-02,1002.6,1005.42,971.65,1002.6,0.01630009090575861
1998-10-05,988.56,1002.6,964.72,988.56,-0.014102566033468072
1998-10-06,984.59,1008.77,974.81,984.59,-0.004024027932105249
1998-10-07,970.68,995.66,957.15,970.68,-0.014228454045968175
1998-10-08,959.44,970.68,923.32,959.44,-0.011647075894395781
1998-10-09,984.39,984.42,953.04,984.39,0.025672379069671687
1998-10-12,997.71,1010.71,984.39,997.71,0.013440492929115607
1998-10-13,994.8,1000.78,987.55,994.8,-0.002920940993003414
1998-10-14,1005.53,1014.42,987.8,1005.53,0.010728332740911417
1998-10-15,1047.49,1053.15,1000.12,1047.49,0.040882060541183686
1998-10-16,1056.42,1062.65,1047.49,1056.42,0.008489007255063071
1998-10-19,1062.39,1065.21,1054.23,1062.39,0.00563525356085995
1998-10-20,1063.93,1084.06,1060.61,1063.93,0.0014485122364153084
1998-10-21,1069.92,1073.61,1058.08,1069.92,0.005614280041985243
1998-10-22,1078.48,1080.43,1061.47,1078.48,0.007968763077140102
1998-10-23,1070.67,1078.48,1067.43,1070.67,-0.007268021664081281
1998-10-26,1072.32,1081.23,1068.17,1072.32,0.0015399048302180871
1998-10-27,1065.34,1087.08,1063.06,1065.34,-0.006530528528192252
1998-10-28,1068.09,1072.79,1059.66,1068.09,0.002578009611819665
1998-10-29,1085.93,1086.11,1065.95,1085.93,0.01656475606196882
1998-10-30,1098.67,1103.78,1085.93,1098.67,0.011663594642690903
1998-11-02,1111.6,1114.44,1098.67,1111.6,0.011700061531115918
1998-11-03,1110.84,1115.02,1106.42,1110.84,-0.0006839330012283926
1998-11-04,1118.67,1127.18,1110.59,1118.67,0.007023993785210741
1998-11-05,1133.85,1133.88,1109.55,1133.85,0.01347844175396441
1998-11-06,1141.01,1141.3,1131.18,1141.01,0.006294913659267686
1998-11-09,1130.2,1141.01,1123.17,1130.2,-0.009519226869819937
1998-11-10,1128.26,1135.37,1122.8,1128.26,-0.0017179852440644709
1998-11-11,1120.97,1136.25,1117.4,1120.97,-0.006482241057426247
1998-11-12,1117.69,1126.57,1115.55,1117.69,-0.0029303264873289897
1998-11-13,1125.72,1126.34,1116.76,1125.72,0.007158775518936612
1998-11-16,1135.87,1138.72,1125.72,1135.87,0.008976046187148846
1998-11-17,1139.32,1151.71,1129.67,1139.32,0.0030327160757938313
1998-11-18,1144.48,1144.52,1133.07,1144.48,0.004518792171271299
1998-11-19,1152.61,1155.1,1144.42,1152.61,0.007078550641641872
1998-11-20,1163.55,1163.55,1152.61,1163.55,0.009446740603274502
1998-11-23,1188.21,1188.21,1163.55,1188.21,0.020972296372802894
1998-11-24,1182.99,1191.3,1181.81,1182.99,-0.004402841120509966
1998-11-25,1186.87,1187.16,1179.37,1186.87,0.003274457956844227
1998-11-27,1192.33,1192.97,1186.83,1192.33,0.004589786134069402
1998-11-30,1163.63,1192.72,1163.63,1163.63,-0.02436494660381228
1998-12-01,1175.28,1175.89,1150.31,1175.28,0.009961987717787278
1998-12-02,1171.25,1175.28,1157.76,1171.25,-0.003434862509539621
1998-12-03,1150.14,1176.99,1149.61,1150.14,-0.018187880474507933
1998-12-04,1176.74,1176.74,1150.14,1176.74,0.022864229185290248
