Model,Residual (ε*),Probability,Average Time (days),Average Time (years)
CV normal,-8.661011457645671,2.337982667517984e-18,4.277191674229159e+17,1710876669691663.5
CV t,-8.414615233268124,0.0004077690801260507,2452.368383818796,9.809473535275183
GARCH normal,-4.267651756395775,9.87706920772601e-06,101244.60798733526,404.97843194934103
GARCH t,-4.253438902065152,0.0008151873098812697,1226.7119321885027,4.906847728754011
ARMA GARCH normal,-4.355694730671134,6.632276626730449e-06,150777.788123258,603.111152493032
ARMA GARCH t,-4.3463426707575765,0.0007571868819152521,1320.6779249404967,5.282711699761987
